movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn
20204681,더 보이 2: 돌아온 브람스,Brahms: The Boy Ⅱ,86.0,2020.0,20200305,개봉,장편,미국,공포(호러),미스터리,윌리엄 브렌트 벨,William Brent Bell,케이티 홈즈,Katie Holmes,15세이상관람가,20122837.0,(주)팝엔터테인먼트,Pop Entertainment
20199642,태국 여행의 목적: 파타야 풀빌라 섹스현장,,55.0,2019.0,20200214,개봉,장편,한국,드라마,,박은석,,,,청소년관람불가,20100142.0,(주)씨맥스커뮤니케이션즈,
20192086,여동생의 사생활,,70.0,2019.0,20200214,개봉,장편,한국,멜로/로맨스,,이가온,,,,청소년관람불가,20063099.0,(주)케이알씨지,KRCG
20204550,포르노 스캔들,Porndemic,92.0,2018.0,20200302,개봉,장편,미국,다큐멘터리,,,,,,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20190819,무림3대고수전,Demon Catcher,77.0,2018.0,20200302,개봉,장편,중국,액션,,,,,,12세이상관람가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20205322,개인교습,A Barge on the Ocean,95.0,2019.0,20200302,개봉,장편,프랑스,멜로/로맨스,,,,,,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20205099,몸으로 성공한 태국 처녀,,61.0,2019.0,20200228,개봉,장편,한국,드라마,,박은석,,,,청소년관람불가,20100142.0,(주)씨맥스커뮤니케이션즈,
20205562,친척동생,,70.0,2020.0,20200225,개봉,장편,한국,기타,,최성은,CHOI Sung-eun,,,청소년관람불가,20136715.0,(주)영화사히트,
20205421,원정녀 2호의 사연,,68.0,2020.0,20200225,개봉,장편,한국,드라마,,최성은,,이설아,LEE Seol-a ,청소년관람불가,20136715.0,(주)영화사히트,
20204338,흑인 복싱 트레이너: 검은 참교육,Torena no kokujin,59.0,2019.0,20200221,개봉,장편,일본,드라마,,,,,,청소년관람불가,20100142.0,(주)씨맥스커뮤니케이션즈,
20205161,순진한 태국 모델 꼬시기,,55.0,2019.0,20200221,개봉,장편,한국,드라마,,박은석,,,,청소년관람불가,20100142.0,(주)씨맥스커뮤니케이션즈,
20193722,오르가즘 특강2,,72.0,2019.0,20200220,개봉,장편,한국,멜로/로맨스,드라마,곽민규,,,,청소년관람불가,20154968.0,(주)로드하우스,
20204701,데스 룰렛,Samaritans,76.0,2017.0,20200220,개봉,장편,미국,공포(호러),,더그 볼링거,Doug Bollinger,키이스 콜린스,Keith Collins,15세이상관람가,20157008.0,(주)픽쳐레스크,
20193692,친구네 엄마,,63.0,2019.0,20200219,개봉,장편,한국,멜로/로맨스,드라마,유서준,,,,청소년관람불가,20154968.0,(주)로드하우스,
20205367,형제의 여자,,73.0,2020.0,20200218,개봉,장편,한국,드라마,,최성은,,,,청소년관람불가,20136715.0,(주)영화사히트,
20205441,여동생,,69.0,2020.0,20200218,개봉,장편,한국,드라마,,최성은,,이설아,LEE Seol-a ,청소년관람불가,20136715.0,(주)영화사히트,
20205244,두 남자와 노는 여자,Peeped Housewife - Electric Fan and Binoculars,70.0,2018.0,20200214,개봉,장편,일본,기타,,조조 히데오,Hideo Jojo,,,청소년관람불가,2019821.0,유한회사 영화사 반딧불,GlowFly Pictures
20204907,흥건한 내연녀,Housewive's Habit,61.0,2019.0,20200207,개봉,장편,일본,드라마,,,,,,청소년관람불가,20139015.0,주식회사 미콘,
20199579,파타야 모델 자매,,56.0,2019.0,20200207,개봉,장편,한국,드라마,,박은석,,,,청소년관람불가,20100142.0,(주)씨맥스커뮤니케이션즈,
20204804,의붓 여동생,,70.0,2019.0,20200207,개봉,장편,한국,드라마,멜로/로맨스,최정자,,,,청소년관람불가,20174841.0,(주)가온콘텐츠,
20204963,변태작가의 색스런 이야기,Script Writer's Custom,61.0,2019.0,20200207,개봉,장편,일본,드라마,,,,야베 히사에,Hisae Yabe,청소년관람불가,20139015.0,주식회사 미콘,
20204113,엔젤스 폴른,Angels Fallen,86.0,2020.0,20200206,개봉,장편,미국,액션,SF,알리 자마니 에스마티,Ali Zamani Esmati,마이클 테,Michael Teh,청소년관람불가,20139757.0,(주)엔케이컨텐츠,
20182757,도화선: 용의 부활,Dragonwolf,121.0,2019.0,20200206,개봉,장편,미국,액션,,레이먼드 후버,Raimund Huber,,,청소년관람불가,20142369.0,(유)조이앤시네마,JOY N CINEMA
20204661,내 친구의 딸,,68.0,2019.0,20200205,개봉,장편,한국,멜로/로맨스,드라마,유서준,,,,청소년관람불가,20154968.0,(주)로드하우스,
20193688,과외 누나,,81.0,2019.0,20200103,개봉,장편,한국,멜로/로맨스,,이가온,,,,청소년관람불가,20063099.0,(주)케이알씨지,KRCG
20190770,어린 이모 3,,78.0,2019.0,20200102,개봉,장편,한국,멜로/로맨스,,계장혁,,,,청소년관람불가,20169329.0,(주)컨텐츠 빌리지,
20190972,싸움의 기술,,72.0,2019.0,20200227,개봉,장편,한국,액션,,김희성,,윤경호,YOON Kyung-ho,청소년관람불가,20154628.0,(주)영화사 사계절,
20204340,시원찮은 그녀를 위한 육성방법 피날레,Saekano the Movie: Finale,114.0,2019.0,20200227,개봉,장편,일본,애니메이션,드라마,,,마츠오카 요시츠구,Yoshitsugu Matsuoka,12세이상관람가,20137515.0,(주)애니플러스,ANIPLUS
20205342,가슴 큰 태희,,79.0,2019.0,20200227,개봉,장편,한국,멜로/로맨스,,이동준,,,,청소년관람불가,20202821.0,케이엘 픽쳐스,KL PICTURES
20193526,젠틀맨,The Gentlemen,113.0,2020.0,20200226,개봉,장편,미국,범죄,액션,가이 리치,Guy Ritchie,매튜 매커너히,Matthew McConaughey,청소년관람불가,20139135.0,(주)영화사 빅,Big Film
20194661,친구 누나 4,,70.0,2019.0,20200226,개봉,장편,한국,멜로/로맨스,,이민우,,,,청소년관람불가,20161021.0,(주)영화사가을,
20191549,사위 사랑은 장모,,61.0,2019.0,20200226,개봉,장편,한국,멜로/로맨스,,한대위,,이은미,LEE Eun-mi,청소년관람불가,20161021.0,(주)영화사가을,
20204092,부부교환 하던 날,,74.0,2019.0,20200226,개봉,장편,한국,멜로/로맨스,,왕지방,,,,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures
20196090,러시아 가정부,,60.0,2019.0,20200226,개봉,장편,한국,멜로/로맨스,,김환,,,,청소년관람불가,20161021.0,(주)영화사가을,
20205537,굿와이프:아내체험현장,,81.0,2020.0,20200226,개봉,장편,한국,드라마,,한동호,,,,청소년관람불가,20186981.0,주식회사 플릭스코,
20204521,아내와 처제-확장판,,100.0,2019.0,20200225,개봉,장편,한국,멜로/로맨스,드라마,노현진,,,,청소년관람불가,20123227.0,(주)나우콘텐츠,Now Contents
20204440,식모: 머피의 법칙-확장판,,101.0,2019.0,20200225,개봉,장편,한국,멜로/로맨스,드라마,노현진,,,,청소년관람불가,20123227.0,(주)나우콘텐츠,Now Contents
20199842,인비저블맨,The Invisible Man,124.0,2020.0,20200226,개봉,장편,미국,공포(호러),,리 워넬,Leigh Whannell,엘리자베스 모스,Elisabeth Moss,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea
