runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
156.0,2,2,마이크 뉴웰,다니엘 래드클리프,0.0,워너브러더스 코리아(주),3499257,12
103.0,2,7,마이크 니콜스,나탈리 포트만,1.0,(주)스튜디오디에이치엘,248409,02
118.0,3,1,도이 노부히로,다케우치 유코,0.0,(주)디스테이션,180524,03
129.0,2,1,카티아 런드,알렉산드레 로드리게즈,1.0,프리비젼엔터테인먼트,9352,11
134.0,2,11,크리스토퍼 놀란,리암 니슨,0.0,워너브러더스 코리아(주),903202,06
121.0,1,7,박진표,전도연,1.0,CJ ENM,2701974,09
114.0,3,1,베르나르도 베르톨루치,에바 그린,1.0,찬란,42905,03
112.0,1,3,박찬욱,이영애,1.0,CJ ENM,3122289,07
110.0,1,1,박영훈,박건형,0.0,쇼이스트(주),1856761,04
133.0,1,1,윤종찬,장진영,0.0,코리아픽쳐스(주),496061,12
133.0,1,1,박광현,신하균,0.0,(주)쇼박스,6436900,08
94.0,1,12,넬슨 신,강희선,0.0,(주)영화사한결,72702,08
113.0,1,7,이명세,강동원,0.0,코리아픽쳐스(주),922680,09
114.0,1,1,윤태용,염정아,0.0,(주)쇼박스,207189,11
117.0,3,1,샹탈 애커만,실비 테스튀,1.0,(주)이모션픽처스,1896,12
100.0,3,2,루이스 리테리어,이연걸,0.0,(주)아펙스 엔터테인먼트,321208,09
97.0,3,1,크리스토퍼 파라티에,제라르 쥐노,0.0,(주)영화사한결,99342,03
134.0,3,1,장 피에르 주네,오드리 토투,0.0,워너브러더스 코리아(주),31214,03
132.0,2,1,클린트 이스트우드,힐러리 스웽크,0.0,(주)노바미디어,731154,03
109.0,1,2,최진원,김래원,1.0,롯데쇼핑㈜롯데엔터테인먼트,1066103,11
119.0,1,1,이준익,감우성,0.0,(주)시네마서비스,10514177,12
121.0,3,2,진목승,성룡,0.0,(유)영화사 화수분,341510,01
142.0,3,1,최양일,기타노 다케시,1.0,(주)영화사 진진,9882,02
114.0,2,1,폴 맥기건,조쉬 하트넷,0.0,(주)에이앤비픽쳐스,144759,10
140.0,3,1,고레에다 히로카즈,키타우라 아유,0.0,(주)디스테이션,39622,04
120.0,2,1,프란시스 로렌스,키아누 리브스,0.0,워너브러더스 코리아(주),1736163,02
137.0,2,2,리들리 스콧,리암 니슨,0.0,이십세기폭스필름코퍼레이션,1237269,05
96.0,1,5,최석원,이동건,0.0,롯데쇼핑㈜롯데엔터테인먼트,1174581,02
103.0,1,8,김용균,김혜수,0.0,(주)쇼박스,1073189,06
109.0,1,7,천세환,연정훈,0.0,CJ ENM,1014372,05
90.0,2,12,비키 젠슨,윌 스미스,0.0,CJ ENM,898316,01
114.0,1,3,임필성,박희순,0.0,(주)쇼박스,871235,05
111.0,1,2,손희창,김민준,0.0,롯데쇼핑㈜롯데엔터테인먼트,828112,09
99.0,3,5,주성치,주성치,0.0,소니픽쳐스릴리징코리아,823559,01
98.0,1,1,공정식,하지원,0.0,CJ ENM,440850,01
120.0,1,5,오상훈,이인성,0.0,CJ ENM,1003026,02
107.0,1,5,추창민,김수미,0.0,CJ ENM,2636857,03
121.0,1,1,한재림,강혜정,1.0,CJ ENM,1524898,06
115.0,1,1,장진,차승원,0.0,(주)시네마서비스,2073641,08
106.0,1,8,원신연,방중현,0.0,CJ ENM,448161,08
118.0,1,7,이윤기,김지수,1.0,CJ ENM,14320,11
100.0,1,1,오석근,김지숙,1.0,CJ ENM,16665,12
115.0,1,7,정지우,김정은,0.0,(주)시네마서비스,135702,09
134.0,1,1,류승완,최민식,0.0,쇼이스트(주),1462972,04
105.0,1,7,허진호,배용준,1.0,쇼이스트(주),678916,09
149.0,1,1,강우석,설경구,0.0,(주)시네마서비스,3134424,01
104.0,1,2,김영준,신현준,0.0,CJ ENM,519722,11
117.0,1,1,정윤철,조승우,0.0,(주)쇼박스,4196859,01
107.0,1,1,유상욱,김민종,0.0,롯데쇼핑㈜롯데엔터테인먼트,14323,09
106.0,1,11,방은진,엄정화,1.0,(주)시네마서비스,830538,10
122.0,1,1,윤종빈,서장원,0.0,영화사청어람(주),10790,11
95.0,1,1,이윤기,김꽃비,0.0,(주)쇼박스,41943,03
125.0,1,1,곽경택,김혜정,0.0,CJ ENM,3471150,12
93.0,1,1,전수일,추상미,0.0,무비즈엔터테인먼트㈜,1334,04
186.0,2,1,피터 잭슨,잭 블랙,0.0,UIP코리아,3470059,12
102.0,1,5,조명남,감우성,0.0,(주)쇼박스,1305518,06
